Variant_SKU,Product_Name,Pricing_Plan,Ships,Delivered,Delivered_%,Avg_Product_Margin
SI44682,"Automatic Smart Teasing Pet Ball, Smart Self Teasing Rolling Pet Ball",Delivery,24,3,12.5%,90
SI39064,Self Design Babydoll,Delivery,24,0,0.0%,90
SI49904,Electric Spin Scrubber Electric Cleaning Brush Cordless Power Scrubber,Delivery,20,5,25.0%,100
SI51154,Natural Rudraksha & Citrine Goodluck Charm Bracelet (Pack 0f 2),Delivery,18,0,0.0%,90
SI54893,Stainless Steel Boys Fashion Wheel Spinning Analog Watch Rim Watch,Delivery,15,0,0.0%,100
SI44025,Airpods Bluetooth Earphone Headphones Wireless Earbuds Smart Touch Headset (White),Delivery,14,1,7.14%,117
SI39527,Black Hair Shampoo 3 in 1 (Pack of 2),Delivery,14,3,21.43%,100
SI54925,Multipurpose Cleaner Foam Spray,Delivery,13,1,7.69%,100
SI43299,"Cosmetic Brush Cleaner,Electric Makeup Brush Cleaner, Cosmetic Brush Cleaner",Delivery,12,3,25.0%,100
SI43295,"Automatic Smart Teasing Pet Ball, Smart Self Teasing Rolling Pet Ball",Delivery,12,10,83.33%,90
SI52453,Anti-Slip Keyboard Pad,Delivery,12,0,0.0%,100
SI44689,High Pressure Nozzle Water Gun | Jet Hose Pipe Nozzles,Delivery,12,0,0.0%,100
SI33886,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,12,7,58.33%,70
SI13839,"Stainless Steel Adhesive 90 Degrees Right Angle Bath Shelf Storage Organizer , Transparent Pack of 2",Delivery,12,0,0.0%,180
SI27372,Sit-Up Bar Home Fitness Equipment,Delivery,12,2,16.67%,130
SI43738,Men's trouser ( pack of 2 - Black and grey ),Delivery,11,0,0.0%,90
SI43635,"Car Mount Adjustable Car Phone Holder Universal Long Arm, Windshield for Smartphones - Black",Delivery,11,0,0.0%,90
SI52069,Glass Cleaning Agent Powerful Stain Remover 100ml,Delivery,10,1,10.0%,100
SI28709,Snap Buttons Mix Colour With Pilers,Delivery,10,2,20.0%,90
SI34661,Crystal Lamp Rechargeable Touch Dimmable Table Lamp with 16 RGB Colors,Delivery,10,1,10.0%,90
SI43643,Baby Nail File Electric Trimmer Kit with Light and 10 Grinding Heads and 4 Speed,Delivery,10,0,0.0%,90
SI44213,Wrist Smart Watch ( Pack of 2 ),Delivery,9,0,0.0%,100
SI52323,Leakproof Plastic Ice Cream Drink Water Bottle with Strap,Delivery,9,0,0.0%,100
SI52326,Herbal Lipoma Removal Cream,Delivery,9,1,11.11%,90
SI54398,Stamina Booster Massage Oil Spray /Stamina Booster Triple Power Capsule  30ml + 60 cap,Delivery,9,0,0.0%,76
SI51324,Lord Balaji Charan for Pooja Room & Car Dashboard,Delivery,9,2,22.22%,100
SI38815,Portable Mini Mop Tools,Delivery,9,3,33.33%,90
SI36149,Air Bra Non Padded  (Pack of 3),Delivery,9,0,0.0%,90
SI33885,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,9,5,55.56%,90
SI54914,"Machine Guard Dust Cloth(130-300mm), Accordion Bellows Cover",Delivery,8,0,0.0%,130
SI39869,BABY SAFETY HELMET HEAD PROTECTION HEADGEAR TODDLER ANTI-FALL PAD,Delivery,8,0,0.0%,90
SI51351,Mini Electric Shaver,Delivery,8,0,0.0%,100
SI45908,Lotus Seeds - Mini Dwarf Water Lotus Bowl Seeds for Planting (pack of 20),Delivery,8,0,0.0%,90
SI50285,2 in 1 Glass Oil Dispenser Bottle,Delivery,8,3,37.5%,90
SI53976,Plastic 4 Section Jar For Kitchen ( Pack of 2 ),Delivery,7,0,0.0%,130
SI54302,New Air Humidifier ( pack of 2 ),Delivery,7,0,0.0%,170
SI28724,Herbal Piles - Hemorrhoids Relief Spray,Delivery,7,2,28.57%,90
SI55979,STAMINA BOOSTER  CAPSULE + STAMINA BOOSTER OIL+ STAMINA BOOSTER SPRAY,Delivery,7,0,0.0%,130
SI44556,Rudraksh citrine crystal bracelet. The Key to Success and Happiness,Delivery,7,0,0.0%,100
SI44039,Men's Joggers Pants with Zipper Pockets Stretch (pack of 2),Delivery,7,0,0.0%,90
SI34264,Portable Keychain Phone Charger (Android C-Type),Delivery,7,0,0.0%,90
SI27939,Self Defence Extendable Stick,Delivery,7,0,0.0%,90
SI42300,Adjustable Posture Corrector Men Women Upper Back Brace Shoulder Lumbar Support Belt,Delivery,7,0,0.0%,90
